7zip 25.01-1
a52dec 0.8.0-2
aalib 1.4rc5-19
acpi 1.8-2
adapta-gtk-theme 3.95.0.11-3
adobe-source-han-sans-jp-fonts 2.005-1
adobe-source-han-serif-jp-fonts 2.003-1
alacritty 0.16.1-1
alsa-utils 1.2.14-1
amd-ucode 20251125-2
ams 2.2.1-2
android-file-transfer 4.5-2
antigravity 1.13.3-1
appstream-glib 0.8.3-2
apr 1.7.6-1
apr-util 1.6.3-2
arandr 0.1.11-4
arc-gtk-theme 20221218-2
arch-install-scripts 31-1
arch-wiki-lite 20251102-1
archinstall 3.0.13-1
asciinema 3.0.1-1
audacity 1:3.7.5-1
autorandr 1.15-1
aws-cli 1.42.69-1
b43-fwcutter 019-6
base 3-2
base-devel 1-2
bash-completion 2.17.0-1
bat 0.26.0-1
bazel 8.4.2-1
bind 9.20.15-1
brave-bin 1:1.85.118-1
brltty 6.8-4
broadcom-wl 6.30.223.271-660
bspwm 0.9.12-1
btrfs-progs 6.17.1-1
bubblewrap 0.11.0-1
caddy 2.10.2-1
cairo-perl 1.109-6
calcurse 4.8.2-1
catdoc 0.95-6
certbot 5.1.0-1
cfssl 1.6.5-1
chafa 1.16.2-1
chromium 142.0.7444.134-1
chrpath 0.17-1
clang 21.1.5-1
cloc 2.06-1
clonezilla 5.6.13-1
cloud-init 25.3-1
cmake 4.1.2-1
compiler-rt 21.1.5-1
conky 1.22.2-1
cowsay 3.8.4-1
cronie 1.7.2-2
darkhttpd 1.17-1
ddrescue 1.29.1-1
deepin-icon-theme 2025.9.11-1
deepin-screen-recorder 6.5.1-1
deepin-system-monitor 6.5.10-2
detox 3.0.1-1
devtools 1:1.4.0-3
dhclient 4.4.3.P1-4
dhcpcd 10.2.4-2
dmenu 5.4-1
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.91-1
docker 1:28.5.2-1
docker-compose 2.40.3-1
docx2txt 1.4-6
dolphin 25.08.3-1
dosfstools 4.2-5
dunst 1.13.0-1
earlyoom 1.9.0-1
edk2-ovmf 202508-1
edk2-shell 202508-1
efibootmgr 18-3
efm-langserver 0.0.54-1
elfutils 0.194-1
espeakup 0.90-4
ethtool 1:6.15-1
exfatprogs 1.3.0-1
eza 0.23.4-1
f2fs-tools 1.16.0-3
fatresize 1.1.0-2
fcitx-configtool 0.4.10-5
fcitx-mozc 2.26.4360.102.gca82d39-3
fcitx-qt5 1.2.7-43
fd 10.3.0-1
feh 3.11.2-2
ffmpegthumbnailer 2.2.3-4
figlet 2.2.5-6
firefox 145.0-1
fish 4.2.0-1
fmt 12.1.0-1
foliate 3.3.0-2
freerdp 2:3.17.2-5
fsarchiver 0.8.8-1
fuseiso 20070708-9
fzf 0.66.1-1
gcab 1.6-2
gcc-fortran 15.2.1+r301+gf24307422d1d-1
gdb 16.3-1
git 2.51.2-2
glib-perl 1.329.4-3
glow 2.1.1-1
gnome-online-accounts 3.56.1-1
gnome-screenshot 1:41.0-1
gnome-tweaks 49.0-1
gnumeric 1.12.59-3
google-chrome 143.0.7499.169-1
gpart 0.3-5
gperf 3.3-1
gptfdisk 1.0.10-1
grml-zsh-config 0.19.25-1
grub 2:2.14rc1.r54.g29f3131a-2
gst-libav 1.26.8-1
gst-plugins-bad-libs 1.26.8-1
gst-plugins-good 1.26.8-1
gtk4 1:4.20.2-3
gucharmap 17.0.0-1
gvfs-afc 1.58.0-2
gvfs-gphoto2 1.58.0-2
gvfs-mtp 1.58.0-2
hdparm 9.65-3
hsetroot 1.0.5-2
htop 3.4.1-1
hyperfine 1.19.0-1
hyperv 6.17-2
id3v2 0.1.12-7
imagemagick 7.1.2.8-1
img2pdf 0.6.1-1
imv 4.5.0-7
intel-oneapi-mkl 2025.0.1-3
intel-ucode 20251111-1
irssi 1.4.5-5
iw 6.17-1
iwd 3.10-1
java-runtime-common 3-6
jfsutils 1.1.15-9
jmtpfs 0.5-3
jmtpfs-debug 0.5-3
jq 1.8.1-1
jsoncpp 1.9.6-3
k9s 0.50.16-1
